Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Khaldiya Police Station,2013,January,02-01-13,Abu Dhabi,Internal road,1.0013E+11,2,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Syria,Y,Driver,Driver's seat,Moderate,31,M,Male,31,31 to 45 years,Jan,Arab States,Wednesday,2:30,PM,31 to 45 years,1,Al Butain,Block 75-2,167," After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east taking the left lane to the cross-road to make a left turn , while the afflicted vehicle was travelling from the east to the west taking the middle lane, which lead the right side of the former collide with the front side of the afflicted vehicle after running the red light. Both of the vehicles crashed into the plastic roadblocks due to the force of the impact, as shown in the diagram. as a result, both drivers and the passenger of vehicle that caused the accident were injured. Adding to that, the damage of the plastic roadblocks and the material damages that were caused to both vehicles. The Accident was diagrammed.",Formerly traffic intersection,Yes,80,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,02-01-13,Abu Dhabi,Internal road,1.0013E+11,2,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,UAE,Y,Driver,Driver's seat,Moderate,24,M,Male,24,18 to 30 years,Jan,UAE,Wednesday,2:30,PM,18 to 30 years,1,Al Butain,Block 75-2,167," After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east taking the left lane to the cross-road to make a left turn , while the afflicted vehicle was travelling from the east to the west taking the middle lane, which lead the right side of the former collide with the front side of the afflicted vehicle after running the red light. Both of the vehicles crashed into the plastic roadblocks due to the force of the impact, as shown in the diagram. as a result, both drivers and the passenger of vehicle that caused the accident were injured. Adding to that, the damage of the plastic roadblocks and the material damages that were caused to both vehicles. The Accident was diagrammed.",Formerly traffic intersection,Yes,80,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,02-01-13,Abu Dhabi,Internal road,1.0013E+11,2,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Syria,N,Passenger,Front passenger seat,Severe,24,M,Male,24,18 to 30 years,Jan,Arab States,Wednesday,2:30,PM,18 to 30 years,1,Al Butain,Block 75-2,167," After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east taking the left lane to the cross-road to make a left turn , while the afflicted vehicle was travelling from the east to the west taking the middle lane, which lead the right side of the former collide with the front side of the afflicted vehicle after running the red light. Both of the vehicles crashed into the plastic roadblocks due to the force of the impact, as shown in the diagram. as a result, both drivers and the passenger of vehicle that caused the accident were injured. Adding to that, the damage of the plastic roadblocks and the material damages that were caused to both vehicles. The Accident was diagrammed.",Formerly traffic intersection,No,80,None,4
Abu Dhabi,Shaabiya Police Station,2013,January,03-01-13,Abu Dhabi,Internal road,1.0013E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,IP43A IntersectionHazaa Bin Zayed Al Awal - Al Sharqi (Muroor),IP43A IntersectionHazaa Bin Zayed Al Awal - Al Sharqi (Muroor),Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Person run over,India,N,Pedestrian,No passenger,Minor,27,M,Male,27,18 to 30 years,Jan,Asian States,Thursday,13:30,PM,18 to 30 years,1,Dhafra (Abu Dhabi),Block 15-1,162,"After examining and inspecting the accident's site, the following was revealed:-
the vehicle that caused the accident was travelling from the west to the east in the far right lane, while the accident victim was crossing the pedestrian cross-walk from north to south and running the pedestrian red light, leading the former to hit the victim with the front side of his motorcycle because of his violation to pedestrian rules, as shown in the diagram.",Al Dhafra Street intersection with Al Barhuz,No,60,Cross on the crosswalk of the intersection,4
Abu Dhabi,Shaabiya Police Station,2013,January,04-01-13,Abu Dhabi,Internal road,1.0013E+11,4,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP39 IntersectionHamdan Bin Mohamed - Street10,IP39 IntersectionHamdan Bin Mohamed - Street10,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Philippines,N,Passenger,Back passenger seat,Minor,42,F,Female,42,31 to 45 years,Jan,Asian States,Friday,0:45,PM,31 to 45 years,1,Mina,Block 72-1,102,"After examining and inspecting the accident's site, the following was revealed:- The vehicle that caused the accident was travelling from the west to the east taking the second lane from the right side, while the afflicted vehicle was travelling from the north to the south taking the middle lane, which lead the front left side of the former to collide with the front side of the afflicted vehicle after running the red light. as a result, the passenger of the vehicle that caused the accident was injured and a material damages were caused to both vehicles. The Accident was diagrammed.",Mudakhenin center intersection,No,60,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,04-01-13,Abu Dhabi,Internal road,1.0013E+11,4,First week,Traffic accident with injuries,Misuse of traffic,1,Street Zayed Al Awal(7),Street Zayed Al Awal(7),Govt. authority,Single road,night - enough lights,clear,Dry,Not on or around 20 meters,Person run over,Sudan,N,Pedestrian,No passenger,Moderate,8,M,Male,8,8 to 17 years,Jan,Arab States,Friday,6:15,AM,Below 18 years,1,Markaziya,Block 53-1,25,"After examining and inspecting the accident's site, the following was revealed:-
the Unknown vehicle that caused the accident was travelling from the west to the east in a two-ways sub road, while the accident victim was crossing from north to south, leading the former to hit the victim with the front right side of his vehicle because of his violation to pedestrian rules. as a result, the victim was moderately injured.","A run over accident on Zayed Al Awal Street, behind the water department in Khalidiya",No,20,"Cross, but not on the crosswalk",1
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Bangladesh,Y,Driver,Driver's seat,Moderate,37,M,Male,37,31 to 45 years,Jan,Asian States,Saturday,22:06,PM,31 to 45 years,1,Al Butain,Block 75-2,167,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east following the arrow sign to the left, while the afflicted vehicle was travelling from the north to the south taking the second left lane, which lead the front side of former collided with the left front side of the afflicted vehicle after running the red light. as a result, both drivers and the passenger of the afflicted vehicle were injured. they left the hospital with injuries ranged in severity from moderate to slight after they were provided with corresponding treatment.  Adding to that, material damages were caused to both vehicles. The Accident was diagrammed.","Al Bateen, the intersection of Arabian Gulf Street with Hazaa Bin Zayed Al Awal Street",Yes,60,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,UAE,Y,Passenger,Front passenger seat,Moderate,46,M,Male,46,46 to 60 years,Jan,UAE,Saturday,22:06,PM,46 to 60 years,1,Al Butain,Block 75-2,167,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east following the arrow sign to the left, while the afflicted vehicle was travelling from the north to the south taking the second left lane, which lead the front side of former collided with the left front side of the afflicted vehicle after running the red light. as a result, both drivers and the passenger of the afflicted vehicle were injured. they left the hospital with injuries ranged in severity from moderate to slight after they were provided with corresponding treatment.  Adding to that, material damages were caused to both vehicles. The Accident was diagrammed.","Al Bateen, the intersection of Arabian Gulf Street with Hazaa Bin Zayed Al Awal Street",Yes,60,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,IP57Q IntersectionHazaa Bin Zayed - Arabian Gulf,Residential area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Pakistan,Y,Driver,Driver's seat,Moderate,29,M,Male,29,18 to 30 years,Jan,Asian States,Saturday,22:06,PM,18 to 30 years,1,Al Butain,Block 75-2,167,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the west to the east following the arrow sign to the left, while the afflicted vehicle was travelling from the north to the south taking the second left lane, which lead the front side of former collided with the left front side of the afflicted vehicle after running the red light. as a result, both drivers and the passenger of the afflicted vehicle were injured. they left the hospital with injuries ranged in severity from moderate to slight after they were provided with corresponding treatment.  Adding to that, material damages were caused to both vehicles. The Accident was diagrammed.","Al Bateen, the intersection of Arabian Gulf Street with Hazaa Bin Zayed Al Awal Street",Yes,60,None,4
Abu Dhabi,Khaldiya Police Station,2013,January,05-01-13,Abu Dhabi,Internal road,1.0013E+11,5,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed Bin Saeed Al-Maktoum Street (2),Rashed Bin Saeed Al-Maktoum Street (2),Commercial area,Intersection,day,clear,Dry,Half Perpendicular Intersection,Perpendicular collision,Jordan,N,Passenger,Back passenger seat,Moderate,6,F,Female,6,1 to 7 years,Jan,Arab States,Saturday,14:42,PM,Below 18 years,1,Al Hosn,Block 13-2,14,"After examining and inspecting the accident's site, the following was revealed:-
The vehicle that caused the accident was travelling from the south to the north, taking the right lane. The first afflicted vehicle was travelling from east to the west taking the the left lane. the second afflicted vehicle was travelling from the east to the west taking the right lane. and because the former vehicle was running the red light, the front side of it collided with the left front side of the first afflicted vehicle which in returns, drifted colliding with right front side of the  the second afflicted vehicle (motorcycle). and they both drifted and collided with left front side of third afflicted vehicle. All the vehicles stopped in the middle of the crossroad. As a result, the driver of the vehicle that caused the accident, and the two passengers were injured. The passengers of the first afflicted vehicle and the driver of the second afflicted vehicle, also were injured. Adding to that, material damages were caused to both vehicles. everything was settled ",The intersection of Rashid bin Saeed Street with the Corniche Street,No,60,None,3
