Emirate,Police Station,Year,Month,Date,City,Road,Report Number,Day,Week,Report type,Reasons,Computed,Streets,Street,Place,Location,lighting,Weather,Road surface,Intersection,Accident Type,Nationalities,Seat Belt,Injured person position,Injured person's seat,Degree of the injury,Age of the injured,Gender,Gender of the injured,Inp Age,Age Group,Date - Month,Nationality of the Injured person,Day,Iac Rep Time,Time,Age Group - Ministry,Computed2,Area,Block,Str Code,Accident Description,Location,Fasten seat belt,Road speed limit,Pedestrian action,Number of Lanes
Abu Dhabi,Shaabiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Rashid Bin Saeed Al Maktoum intersection - Street IP28A 27,Rashid Bin Saeed Al Maktoum intersection - Street IP28A 27,Govt. authority,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Perpendicular collision,Syria,Y,Passenger,Front passenger seat,Minor,47,F,Female,47,46 to 60 years,Jan,Arab States,Saturday,0:00,PM,46 to 60 years,1,Mushrif,Block 23-2,187,"3803.                   After detection and inspecting the accident site, the following accident chart became clear: While the causing vehicle was coming from the west towards the east and it would like to turn left, the lane is on the far left, the damaged vehicle is coming from the east towards the west and the lane is on the far right. In the case of moving forward, and because of bypassing the red light and driving drunk the causing vehicle was collided from the front right corner. The damaged vehicle is on the right side of the causing vehicle. The accident resulted in a female passenger being injured in the damaged vehicle, as well as material damage to both vehicles. The detection and necessary measures were taken.","Airport Street, Tarkhees intersection",Yes,60,None,4
Abu Dhabi,Shaabiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Al Sharqi intersection (Muroor) - Mohamed bin Khalifa IP49A,Commercial area,Intersection,night - enough lights,clear,Dry,Perpendicular Intersection,Side collision,India,Y,Passenger,Front passenger seat,Minor,56,M,Male,56,46 to 60 years,Jan,Asian States,Saturday,0:35,PM,46 to 60 years,1,Al Wahda,Block 17-1,174,"3804.                   After detection and inspection by the accident chart, the following is revealed: -The causing vehicle was coming from the west towards the east with the left lane line, the damaged vehicle was coming from the south towards the north with the right lane line, while the two vehicles were passing and because of bypassing the red traffic light by the offending driver hit the front of the damaged vehicle on the right side of the damaged vehicle, and accordingly the accident was charted.",Etihad Newspaper intersection,Yes,60,None,3
Abu Dhabi,Al Madina Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,under influence of intoxicant or narcotic drug,1,Street 10,Street 10,Commercial area,Highway,night - enough lights,clear,Dry,Not on Intersection,Hitting a stationary object off the road,UAE,N,Passenger,Front passenger seat,Severe,32,M,Male,32,31 to 45 years,Jan,UAE,Saturday,4:20,PM,31 to 45 years,1,Mina,Block 73-1,43,"3805.                   After detection and inspecting the accident site, the following accident chart became clear: The causing vehicle was coming from the south to the north, and due to the driving in an abnormal state (drunkenness) by the offending driver, the vehicle deviated from the road and hit the front of the causing vehicle with a billboard column. The accident was charted and necessary action was taken.","Mina Region, Al Mina Street",No,60,None,5
Abu Dhabi,Khaldiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,Bypassing the red traffic light,1,Rashed bin Saeed Al-Maktoum intersection - Street 29 IP76,Rashed bin Saeed Al-Maktoum intersection - Street 29 IP76,Commercial area,Intersection,day,clear,Dry,Perpendicular Intersection,Side collision,Yemen,Y,Passenger,Front passenger seat,Minor,41,F,Female,41,31 to 45 years,Jan,GCC,Saturday,16:19,PM,31 to 45 years,1,Mushrif,Block 24-2,188,"3806.                   After detection and inspecting the accident site, it became clear that the following accident chart: - The causing vehicle is coming from the south to the north, heading to the west, the path is passed by the arrow, and the damaged vehicle is coming from the north to the south, on the right path. To bypass the red light by the causing vehicle, the front of the damaged vehicle collided with the right side of the causing vehicle. The accident was charted and the crisis was conducted.","Sheikh Rashed St.,, Pepsi intersection",Yes,60,None,3
Abu Dhabi,Khaldiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,Negligence and inobservance,1,Khalifa Bin Shakhbout Street (28),Khalifa Bin Shakhbout Street (28),Other,Single road,night - enough lights,clear,Dry,Not on Intersection,Hitting a stationary object on the road,UAE,N,Passenger,Back passenger seat,Moderate,39,F,Female,39,31 to 45 years,Jan,UAE,Saturday,22:27,PM,31 to 45 years,1,Mushrif,Block 38-2,18,"3807.                   After detection and inspecting the accident site, the following accident chart became clear: During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",,No,40,None,1
Abu Dhabi,Khaldiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,Negligence and inobservance,1,Khalifa Bin Shakhbout Street (28),Khalifa Bin Shakhbout Street (28),Other,Single road,night - enough lights,clear,Dry,Not on Intersection,Hitting a stationary object on the road,UAE,N,Passenger,Back passenger seat,Minor,17,F,Female,17,8 to 17 years,Jan,UAE,Saturday,22:27,PM,Below 18 years,1,Mushrif,Block 38-2,18,"3808.                   After detection and inspecting the accident site, the following accident chart became clear: - During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",,No,40,None,1
Abu Dhabi,Khaldiya Police Station,2011,January,01-01-11,Abu Dhabi,Internal road,1.0011E+11,1,First week,Traffic accident with injuries,Negligence and inobservance,1,Khalifa Bin Shakhbout Street (28),Khalifa Bin Shakhbout Street (28),Other,Single road,night - enough lights,clear,Dry,Not on Intersection,Hitting a stationary object on the road,UAE,N,Driver,Driver's seat,Minor,15,M,Male,15,8 to 17 years,Jan,UAE,Saturday,22:27,PM,Below 18 years,1,Mushrif,Block 38-2,18,"3809.                   After detection and inspecting the accident site, the following accident chart became clear: During the rotation of the causing vehicle from the filter triangle, the driver of the causing vehicle could not control the causing vehicle, which led to hitting the front of the causing vehicle on the sidewalk leading to its rollover on its left side. The accident was charted and necessary action was taken.",,No,40,None,1
Abu Dhabi,Shaabiya Police Station,2011,January,02-01-11,Abu Dhabi,Internal road,1.0011E+11,2,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Hazaa Bin Zayed Al Awal Street (11),Hazaa Bin Zayed Al Awal Street (11),Commercial area,Highway,day,clear,Dry,Not on or around 20 meters,Person run over,India,N,Pedestrian,No passenger,Moderate,31,M,Male,31,31 to 45 years,Jan,Asian States,Sunday,12:08,PM,31 to 45 years,1,Dhafra (Abu Dhabi),Block 55-1,23,"3810.                   After detection and inspecting the accident site, the following accident chart became clear: - The first causing vehicle is coming from the south towards the north, and run-over person (second offender) is coming from the north towards the south, and because of the lack of estimation of the road users by the first offender and passing the run-over person (second offender) the road away from the pedestrian, the right-side mirror collided with the run-over person, and the accident was charted and the crisis was conducted.","Off Hazaa Bin Zayed Al-Awal Street, beside Al-Khayyam Shops",No,40,Cross but not on the crosswalk ,2
Abu Dhabi,Shaabiya Police Station,2011,January,02-01-11,Abu Dhabi,Internal road,1.0011E+11,2,First week,Traffic accident with injuries,Not leaving enough space,1,Al Sharqi Street (Muroor) (4),Al Sharqi Street (Muroor) (4),Govt. authority,Intersection,day,clear,Dry,Perpendicular Intersection,Rear collision,Pakistan,N,Driver,Driver's seat,Moderate,26,M,Male,26,18 to 30 years,Jan,Asian States,Sunday,15:40,PM,18 to 30 years,1,Hadbat Al Zafaran,Block 45-1,13,"3811.                   After detection and inspecting the accident chart, the policeman of the accident chart revealed the following: - While the causing vehicle was coming from the east to the west, taking the middle path, and the damaged vehicle in front of it on the same lane, and because of not leaving enough space with the offending driver, the front of the causing vehicle collided with the rear end of the damaged vehicle and the accident resulted in the injured driver being moderately injured. He received the necessary treatment and left the hospital, as a result of damage. It leaded to financial losses also, then the site of the accident was examined and necessary action was taken.","Zaafarana area, Al-Moroor Street before civil defence intersection - Outward",No,60,None,4
Abu Dhabi,Shaabiya Police Station,2011,January,03-01-11,Abu Dhabi,Internal road,1.0011E+11,3,First week,Traffic accident with injuries,Speedy without taking road conditions into account,1,Al Saada Intersection - Salam IP69,Al Saada Intersection - Salam IP69,Bridge / Tunnel,Bridge,day,clear,Dry,Not on or around 20 meters,Multiple collision,Pakistan,N,Passenger,Back passenger seat,Minor,26,M,Male,26,18 to 30 years,Jan,Asian States,Monday,5:30,PM,18 to 30 years,1,Qasr Al Bahar,Block 36-1,129,"3812.                   After detection and inspecting the accident site, the following accident chart clear: - While all the vehicles that are involved in the accident were coming from the east to the west moving in the far-right lane and upon their arrival over the Al-Saada Bridge, the fourth damaged vehicle was surprised by stalled vehicle on the road and he lowered its speed, and the first, second and third damaged vehicles stopped in the far-right lane and due to the speed without taking into account circumstances and not slowing down upon arrival near the bridge, then the front of his vehicle collided from the left side with the rear of the first damaged vehicle, and as a result of the collision, it rushed and collided with the rear of the second damaged vehicle, and the second damaged vehicle rushed and collided with the third damaged vehicle and the third damaged vehicle ran into the fourth damaged vehicle, according to the chart, the accident occurred.","Al Sharqi Ring Road, above Al Saada Bridge - Inward",No,100,None,5
